Facility_Name,Doctor_Name,Staff_Rating,Punctuality_Rating,Helpfulness_Rating,Knowledge_Rating
Ithaca Family Chiropractic,Dr. Brian Bartholomew,0,0,0,0
Lisa M. Baclawski Clinic Ithaca,Dr. Lisa M. Baclawski,0,0,0,0
Ithaca Medical Group,Dr. Timothy E. Bael,5.0,3.5,4.0,3.0
Xin-Xing Acupuncture & Chinese,Xinmin Zhao,0,0,0,0
Kathryn M. Rooth Clinic Ithaca,Dr. Kathryn M. Rooth,0,0,0,0
"Ritch C. Savin-Williams, Phd",Ritch C. Savin-Williams,0,0,0,0
Todd Stein Clinic Ithaca,Dr. Todd Stein,0,0,0,0
Family Medicine Associates: Darlow Lloyd A Md,Dr. Lloyd Darlow,0,0,0,0
Stallone Martin Md,Dr. Martin Stallone,5.0,5.0,5.0,5.0
Marne Oshae Clinic Ithaca,Dr. Marne Oshae,0,0,0,0
Schuler George Phd,George Schuler,0,0,0,0
"Neil Weinberg, L.ac., Ithaca Acupuncture",Neil A. Weinberg,0,0,0,0
Franzoni Edward,Edward Franzoni,0,0,0,0
Inspired Health Chiropractic And Wellness,Dr. Mary E. Balliett,0,0,0,0
Lakin Michael Phd,Michael J. Lakin,2.0,3.0,2.0,2.0
Ob-Gyn Associates Of Ithaca,Dr. Dvorah Milner,0,0,0,0
Thompson Matthew Dds,Dr. Albert M. Thompson,0,0,0,0
Spinal Wellness Chiropractic Of Ithaca,Dr. Pierre Gremaud,0,0,0,0
"Nancy L. Miller, Cnm",Nancy L. Miller,0,0,0,0
Trujillo Jeannie,Jeannie Trujillo,0,0,0,0
Justine M. Hilsdorf Clinic Ithaca,Justine M. Hilsdorf,0,0,0,0
Debra J. Dibartolo Clinic Ithaca,Debra J. Dibartolo,0,0,0,0
Dawn L. Paulsen Clinic Ithaca,Dawn L. Paulsen,0,0,0,0
Deborah D. Mcintyre Clinic Ithaca,Deborah D. Mcintyre,0,0,0,0
Stein Sheila J,Sheila J. Stein,0,0,0,0
Adam Law Clinic Ithaca,Dr. Adam Law,3.3793103448275863,3.206896551724138,3.2758620689655173,3.9310344827586206
Claire B. Petersen Clinic Ithaca,Dr. Claire B. Petersen,0,0,0,0
Judith Scherer Clinic Ithaca,Judith Scherer,0,0,0,0
Courtney L. Ellis Clinic Ithaca,Courtney L. Ellis,0,0,0,0
Ithaca Oral Surgery & Implant: Noren Scott A Dds,Dr. Scott Norden,0,0,0,0
Fingerlakes Endodontics,Dr. Kathryn M. Karpinski,0,0,0,0
"Jennifer Parr Mutolo, Mph",Jennifer Parr Mutolo,0,0,0,0
Ellen J. Cramer Clinic Ithaca,Ellen J. Cramer,0,0,0,0
Piskorowski Joseph Dds,Dr. Joseph H. Piskorowski,3.736842105263158,3.3157894736842106,3.1052631578947367,3.6842105263157894
Patricia Meyers Clinic Ithaca,Dr. Patricia Meyers,0,0,0,0
Charles Garbo Clinic Ithaca,Dr. Charles Garbo,0,0,0,0
Ellen Zaslaw Clinic Ithaca,Ellen Zaslaw,0,0,0,0
Mark J. Scholl Clinic Ithaca,Dr. Mark J. Scholl,5.0,5.0,5.0,5.0
Center For Dental Medicine,Dr. Edward J. Ambis,0,0,0,0
J. Tyson Merrill Clinic Ithaca,J. Tyson Merrill,0,0,0,0
"Dr. Mary F. Howson, Md",Dr. Mary Howson,5.0,3.0,5.0,5.0
Aileen M. Boyd Clinic Ithaca,Aileen M. Boyd,0,0,0,0
Beth A. Kutler Clinic Ithaca,Beth A. Kutler,0,0,0,0
Abigail Richardson Clinic Ithaca,Abigail Richardson,0,0,0,0
Lucy G. Burrows Clinic Ithaca,Lucy G. Burrows,0,0,0,0
Inspired Health Chiropractic And Wellness,Dr. Jessica E. Loda,5.0,5.0,5.0,5.0
Moore Mahrie A,Mahrie A. Moore,0,0,0,0
